"Data Year","Data Year (cat)",Country,Region,Gender,Age,"Age (cat)",Handedness,Height,"Right foot length","Arm span","Languages spoken","Travel method to school","Travel time to school","Reaction time","Memory time","Favourite physical activity","Reducing pollution",Recycling,"Conserving water","Conserving energy","Owning a computer","Access to the internet","Left foot length","Longer foot","Index finger length","Ring finger length","Long finger left hand","Birth month","Favorite season",Allergies,Vegetarian,"Favorite food",Beverage,"Favorite school subject","Sleep hours (school night)","Sleep hours (non-school night)","Home occupants","Home internet access","Communication with friends","Text messages sent yesterday","Text messages received yesterday","Hanging out with friends","Talking on the phone","Doing homework","Doing things with family","Playing sports/outdoor games or activities","Playing computer/video games","Using social networking web sites","Sending/receiving text, SMS, or computer instant messages","Using the computer/internet","Watching TV","Paid work","Housework/Jobs at home","Schoolwork pressure","Planned education level","Favorite music",Superpower,"Preferred status","Role model type","Charity donation"
2014,[2014],USA,TX,Male,9,[.-9],Right-Handed,0,0,0,2,Car,20,0,0,Golf,0,0,0,,0,0,0,,,,,March,,Yes,No,Meat,Water,"Mathematics and statistics",8,10,3,"Yes - other","In person",0,0,2,0,5,3,2,1,0,0,1,3,0,2,"Very little","Graduate degree","Rap/Hip hop",Fly,Healthy,Relative,"International aid"
2013,[2013],USA,PA,Female,17,[17],Right-Handed,163,21,157,3,Car,8,0.234,64,Other,900,900,900,900,1000,1000,21,"Same length",70,72,"Ring finger",July,Spring,No,No,Pizza/Pasta,Water,History,5,9,5,"Yes - other","In person",3,3,1,1,35,0,3,0,2,1,10,10,12,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Politician,"International aid"
2015,[2015],USA,CA,Female,11,[11],Right-Handed,169,12.7,162,1,Bicycle,15,0.442,43,"Hockey (Ice)",180,170,160,190,130,130,13,"Same length",80,90,"Ring finger",June,Spring,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",9,11,4,"Yes - broadband connection",E-mail,0,0,35,0,15,10,5,1,0,0,10,2,0,2,"Very little","Some college",Pop,Fly,Happy,"Sports person","Education/Youth development"
2012,[2012],USA,SC,Male,0,,Left-Handed,190,28,192,1,Car,10,0.5,58,Baseball/Softball,720,300,500,450,300,800,25,"Right foot",103,103,"Same length",September,Summer,Yes,No,Desserts,"Sports drink",English,8,5,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",45,60,60,40,45,70,60,10,50,50,70,70,0,40,"A lot","Some college","Rap/Hip hop",Telepathy,Rich,"Sports person","Education/Youth development"
2013,[2013],USA,MD,Male,13,[13],Right-Handed,162,27,153,1,Bus,25,0.421,64,Soccer,1000,1000,1000,1000,500,250,27,"Same length",90,85,"Index finger",January,Spring,No,No,Poultry,"Energy drink","Physical education",6,10,6,"Yes - other","Text messaging",2,2,3,0,1,0,6,2,0,0,2,5,9,0,None,"Some college","Rap/Hip hop",Invisibility,Rich,"Sports person","Arts, culture, sports"
2011,[2011],USA,CA,Female,13,[13],Ambidextrous,158,24,148,1,Bus,30,0.798,49,Soccer,0,0,0,,0,0,24,"Same length",85,65,"Index finger",April,Summer,Yes,No,Meat,"Soft drink (non-caffeinated)",English,9,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,40,1,5,80,8,0,20,20,20,10,0,10,"Very little","Some college",Pop,"Freeze time",Happy,Friend,"Wildlife, animals"
2011,[2011],USA,CA,Female,17,[17],Right-Handed,160,22,155,1,Car,3,0.437,48,Other,300,450,450,,1000,1000,22,"Same length",65,75,"Ring finger",April,Fall,Yes,No,Seafood,Water,English,6,9,5,"Yes - broadband connection","Text messaging",200,200,15,10,15,10,1,0,8,98,15,7,0,2,"A lot","Graduate degree",Other,Fly,Happy,Relative,Health
2015,[2015],USA,OH,Female,11,[11],Ambidextrous,0,0,0,3,Car,0,0.546,32,Basketball,999,1000,898,1000,0,2,0,,,,,April,Summer,Yes,Yes,"No favorite",Water,,0,,0,,"Cell phone",0,0,6,3,1,24,0,0,0,0,0,0,14,0,"A lot","Graduate degree",Jazz,Telepathy,Happy,"Musician or singer","Education/Youth development"
2014,[2014],USA,NC,Male,12,[12],Right-Handed,188,24,178,1,Bus,45,0.38,61,Basketball,743,556,1000,299,1000,1000,24,"Same length",80,70,"Index finger",August,Summer,Yes,No,Pizza/Pasta,"Powdered drink","Physical education",8,7,5,"Yes - broadband connection","Text messaging",100,80,6,1,1,24,8,2,1,4,2,1,60,24,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person","Wildlife, animals"
2012,[2012],USA,NC,Female,16,[16],Right-Handed,167,25.4,155,1,Car,10,0,53,Baseball/Softball,100,100,100,100,900,990,25,"Same length",101.6,95.25,"Index finger",May,Summer,Yes,No,Soups,Water,"Social studies",8,9,4,"Yes - broadband connection","In person",50,52,3,2,5,6,6,0,1,1,1,12,0,4,"Very little","Graduate degree",Pop,Invisibility,Happy,Politician,Religious
2014,[2014],USA,MI,Female,17,[17],Left-Handed,163,22,167,1,Car,15,0.706,40,Dancing,727,508,513,904,21,21,23,"Left foot",70,70,"Same length",June,Summer,Yes,No,Meat,Water,Music,6,9,6,"Yes - dial-up connection","In person",124,123,5,1,7,5,9,0,3,5,3,7,11,2,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,"Education/Youth development"
2012,[2012],USA,OH,Male,17,[17],Left-Handed,183,28.89,196,1,Car,10,0.28,55,Skateboarding/Rollerblading,700,800,800,800,700,600,29,"Left foot",90,92,"Ring finger",December,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",Science,8,10,4,"Yes - broadband connection","In person",50,60,10,1,20,10,10,5,5,5,10,0,0,5,Some,"Graduate degree",Other,Telepathy,Happy,Actor,Health
2014,[2014],USA,MN,Female,16,[16],Right-Handed,168,24,166,1,Bus,5,0.653,34,None,1000,600,0,400,200,800,25,"Left foot",,,,November,Fall,No,No,"Rice/Noodle dishes",Water,Geography,8,12,3,"Yes - other","Cell phone",4,20,30,1,10,5,3,0,10,4,20,5,0,3,Some,Other,Other,Fly,Rich,Other,Health
2014,[2014],USA,NC,Female,0,,Right-Handed,162,19.5,169,1,Car,15,0.326,51,Other,807,802,856,920,1000,1000,19,"Right foot",83,89,"Ring finger",January,Winter,Yes,Yes,Desserts,Water,Science,9,9,2,"Yes - broadband connection",,5,5,3,2,2,30,6,0,0,1,14,3,0,1,Some,"Graduate degree",Pop,"Freeze time",Rich,Other,"Wildlife, animals"
2015,[2015],USA,CO,Female,17,[17],Right-Handed,163,25,163,3,,0,0,0,,0,0,0,,0,0,25,"Same length",,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,[2014],USA,GU,Female,16,[16],Right-Handed,152,22,155,2,Bus,5,0,74,Baseball/Softball,743,524,417,626,460,626,22,"Same length",95,75,"Index finger",January,Winter,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2015,[2015],USA,MA,Male,0,,Right-Handed,120,0,120,2,Walk,30,0,20,Basketball,30,30,30,30,30,30,0,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2015,[2015],USA,WI,Female,12,[12],Right-Handed,164,23,160,1,Car,4,0.286,37,Soccer,4,3,1,2,6,5,23,"Same length",70,70.5,"Ring finger",October,Fall,Yes,No,Meat,Milk,"Social studies",9,7,4,"Yes - other","Text messaging",150,160,10,2,5,6,7,0,10,15,2,3,1,3,"A lot","Undergraduate degree",Country,"Freeze time",Rich,Relative,"Wildlife, animals"
2012,[2012],USA,VA,Male,16,[16],Right-Handed,170,17,168,1,Car,20,0,34,Other,500,500,500,500,1000,1000,18,"Left foot",,,,February,Fall,No,No,Pizza/Pasta,"Soft drink (caffeinated)",Other,6,9,4,"Yes - other","Cell phone",100,102,0,0,20,15,2,1,20,0,5,20,0,0,"A lot","Graduate degree",Other,"Super strength",Happy,Relative,"Education/Youth development"
2011,[2011],USA,NY,Female,17,[17],Right-Handed,153,23,156,3,Car,20,0.314,31,Other,1000,1000,1000,,500,1000,22,"Right foot",100,100,"Same length",June,Winter,No,Yes,Breads/Sandwiches,Tea,Languages,6,5,5,"Yes - broadband connection","Text messaging",50,51,30,12,5,20,10,0,0,9,7,10,0,0,"A lot","Graduate degree","Rock and roll",Fly,Happy,"Community leader or elder","Wildlife, animals"
2015,[2015],USA,MA,Female,0,,Right-Handed,0,0,0,3,Walk,20,0,60,Athletics,100,100,500,100,600,500,0,,,,,February,Summer,No,No,"No favorite",Other,"Social studies",10,5,5,"Yes - broadband connection","Text messaging",100,50,5,100,50,0,5,0,6,100,100,0,8,8,Some,"Graduate degree",Pop,Fly,Rich,Other,
2014,[2014],USA,IL,Female,17,[17],Ambidextrous,165,23,166,3,Car,2,0.529,41,None,1000,850,400,700,1000,1000,23,"Same length",73,73,"Same length",November,Winter,No,No,"Rice/Noodle dishes",Water,History,7,12,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,2,0,0,18,20,0,0,1,0,10,5,5,2,"A lot","Graduate degree","Punk rock",Telepathy,Happy,Relative,Health
2015,[2015],USA,CO,Male,17,[17],Right-Handed,183,27,182,1,Car,10,0.359,44,Soccer,500,400,300,300,1000,1000,27,"Same length",87,83,"Index finger",May,Spring,No,No,Fruit,Milk,History,7,9,4,"Yes - broadband connection","In person",15,15,8,0,5,10,12,0,2,1,5,5,0,5,Some,"Undergraduate degree",Other,"Freeze time",Happy,"Musician or singer",Health
2014,[2014],USA,CA,Male,0,,Right-Handed,152,27,163,2,Car,13,0.4,58,Soccer,0,800,1000,100,0,600,27,"Same length",90,93,"Ring finger",July,Summer,Yes,No,Meat,Water,"Physical education",7,8,3,"Yes - broadband connection","In person",100,100,80,80,6,19,19,4,30,80,100,20,34,2,"Very little",,,"Freeze time",Rich,,
2012,[2012],USA,TX,Female,16,[16],Right-Handed,167,24,155,1,Car,5,0.362,0,Running/Jogging,100,200,500,100,1000,1000,24,"Same length",80,70,"Index finger",April,Fall,No,No,Fruit,"Sports drink","Computers and technology",9,8,3,"Yes - other","Text messaging",100,100,5,2,12,2,1,1,8,24,15,7,20,3,"A lot","Graduate degree",Classical,Invisibility,Rich,Relative,"Wildlife, animals"
2011,[2011],USA,ID,Male,17,[17],Right-Handed,183,30.48,185,1,Car,10,0.281,37,Soccer,999,998,1000,,500,500,30,"Same length",75,75,"Same length",June,Spring,No,No,Pizza/Pasta,"Energy drink",Music,7,10,4,"Yes - other","Text messaging",100,100,7,1,0,2,10,5,4,20,2,5,0,2,"A lot","Some college",Country,Invisibility,Happy,Other,Health
2015,[2015],USA,WI,Male,17,[17],Left-Handed,185,29,193,2,Bicycle,2,0.304,43,Swimming,770,1000,722,652,722,898,30,"Left foot",85,85,"Same length",April,Fall,No,No,"Rice/Noodle dishes",Water,Science,8,8.5,4,"Yes - broadband connection","Cell phone",10,10,25,1,10,8,12,5,20,2,15,0,0,4,Some,"Graduate degree",Techno/Electronic,Fly,Happy,Relative,"Wildlife, animals"
2011,[2011],USA,SC,Male,14,[14],Right-Handed,0,0,0,2,Car,3,0,0,Other,0,0,0,,0,0,0,,,,,July,Fall,Yes,No,"No favorite","Sports drink",History,5,12,4,"Yes - other","In person",145,155,2,0,0,1,1,100,12,15,0,0,0,1,"A lot","Some college",Other,"Freeze time",Rich,Other,"Wildlife, animals"
2011,[2011],USA,OH,Male,11,[11],Right-Handed,143,22,141,1,Bus,30,0.359,54,Baseball/Softball,800,900,1000,,10,10,21,"Right foot",60,80,"Ring finger",August,Winter,Yes,No,Poultry,"Sports drink","Physical education",9,9,2,"Yes - other","Text messaging",17,18,20,2,4,6,40,1,3,4,2,1,5,7,"Very little","Graduate degree",Pop,"Super strength",Rich,"Sports person","Wildlife, animals"
2013,[2013],USA,MI,Female,0,,Right-Handed,180,20,175,2,Car,12,0.3,37,Swimming,0,0,0,,0,0,20,"Same length",,,,October,Summer,No,No,Pizza/Pasta,,"Social studies",8,9,4,"Yes - broadband connection","Cell phone",20,20,4,0,1,6,20,0,20,10,50,20,0,1,"Very little","Graduate degree",Gospel,Invisibility,Rich,"Business person",Health
2015,[2015],USA,IN,Male,0,,Right-Handed,174,25,180,1,Car,10,0.5,3,Walking/Hiking,1000,1000,500,1000,300,500,25,"Same length",,,,July,Spring,No,No,Meat,"Soft drink (caffeinated)",History,7,5,4,"Yes - broadband connection","Cell phone",200,300,15,1,2,3,2,5,2,24,4,3,20,5,Some,"Graduate degree",Reggae,"Freeze time",Happy,Relative,"Wildlife, animals"
2010,[2010],USA,DC,Male,12,[12],Right-Handed,150,20,152,2,Bicycle,0,0.108,32,"Football (American)",1000,1000,1000,,1000,1000,24,"Left foot",70,75,"Ring finger",November,Spring,No,No,Pizza/Pasta,"Powdered drink","Physical education",7,5,5,"Yes - other","In person",8,8,6,8,4,6,7,3,2,7,5,4,7,3,"A lot","Some college","Rap/Hip hop",Telepathy,Rich,Relative,Health
2013,[2013],USA,SC,Male,0,,Right-Handed,182,30,180,1,Car,15,0.678,48,Baseball/Softball,200,500,200,100,100,500,30,"Same length",,,,July,Summer,No,No,Poultry,Water,Art,8,8,4,"Yes - broadband connection","Cell phone",50,100,20,2,0,1,5,6,0,2,0,2,2,2,None,"Graduate degree",Reggae,Fly,Healthy,Other,"Wildlife, animals"
2013,[2013],USA,RI,Male,11,[11],Left-Handed,156,25,153,2,Bicycle,5,0.22,42,Baseball/Softball,500,520,208,547,100,902,24,"Right foot",90,90,"Same length",February,Summer,No,No,Fruit,Water,Art,10,,2,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",37,29,2,1,10,5,0,25,4,10,3,50,0,0,Some,"Graduate degree","Rap/Hip hop","Super strength",Healthy,Actor,Health
2014,[2014],USA,CA,Female,17,[17],Right-Handed,164,25.3,160,1,Car,43,0.767,64,Walking/Hiking,0,0,0,,0,0,25,"Same length",80,80,"Same length",,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,[2014],USA,WI,Male,14,[14],Ambidextrous,145,0,145,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2010,[2010],USA,SC,Male,17,[17],Left-Handed,185,0,234,1,Car,20,0,30,Basketball,500,500,500,,1000,1000,0,,80,70,"Index finger",February,Spring,Yes,No,Meat,Water,Other,7,12,4,"Yes - broadband connection","In person",116,205,10,10,1,1,20,5,5,20,4,7,7,0,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Wildlife, animals"
2015,[2015],USA,WI,Female,17,[17],Right-Handed,161,23,157,2,Bicycle,10,0.291,32,Swimming,1000,1000,1000,1000,1000,1000,23,"Same length",65,70,"Ring finger",September,Fall,No,No,Breads/Sandwiches,Water,English,8,11,4,"Yes - dial-up connection","Text messaging",15,8,6,1,10,2,10,2,1,3,16,12,0,2,Some,"Graduate degree","Heavy metal","Freeze time",Happy,Relative,Environment
2014,[2014],USA,CA,Male,17,[17],Right-Handed,0,0,0,2,Car,10,0.771,74,Lacrosse,500,500,600,600,900,900,0,,,,,June,Winter,No,No,Seafood,"Soft drink (caffeinated)",Art,7,9,5,"Yes - other","In person",50,51,10,1,3,6,10,0,4,4,8,4,0,1,"Very little","Graduate degree",Pop,"Super strength",Rich,"Business person",Health
2010,[2010],USA,FL,Male,15,[15],Right-Handed,178,25,178,2,Car,25,0.287,24,"Martial Arts",500,500,800,,1000,1000,25,"Same length",85,83,"Index finger",December,Winter,Yes,No,"No favorite",Water,"Mathematics and statistics",6,10,4,"Yes - broadband connection","Internet chat or instant messaging",0,0,2,0,25,10,1,3,0,2,15,2,0,1,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,Health
2012,[2012],USA,OH,Male,12,[12],Right-Handed,158,25,137,1,Car,5,0.78,52,Soccer,700,900,600,950,400,500,25,"Same length",70,70,"Same length",April,Fall,No,No,Pizza/Pasta,Water,Art,8,9,5,"Yes - broadband connection","In person",20,22,3,0,5,5,2,4,2,5,1,3,1,2,Some,"Undergraduate degree",Pop,Invisibility,Healthy,Actor,Other
2014,[2014],USA,PA,Female,8,[.-9],Left-Handed,0,0,0,1,Car,0,0,0,Swimming,0,0,0,,0,0,0,,,,,March,Winter,No,,,Juice,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Pop,Invisibility,Healthy,Teacher,
2012,[2012],USA,AZ,Male,0,,Right-Handed,183,30,170,2,Car,15,0.349,20,Athletics,800,1000,700,700,500,500,30,"Same length",,,,February,Fall,Yes,No,Meat,Milk,Other,7,9,4,"Yes - broadband connection","Cell phone",40,40,20,2,5,20,20,10,0,5,5,5,0,5,"Very little","Graduate degree","Rhythm and blues (R&B)","Super strength",Happy,Relative,Other
2012,[2012],USA,FL,Female,17,[17],Right-Handed,167,23,164,1,Car,30,0.43,0,Soccer,900,1000,500,700,900,1000,22,"Right foot",72,70,"Index finger",June,Summer,Yes,No,Meat,Water,Science,7,9,4,"Yes - broadband connection","In person",75,75,2,2,35,4,6,0,4,6,10,0,12,1,"A lot","Graduate degree",Pop,Telepathy,Happy,Friend,Health
2012,[2012],USA,VA,Female,17,[17],Right-Handed,163,22,156,1,Car,15,0.419,0,Dancing,225,176,348,401,781,882,23,"Left foot",64,66,"Ring finger",June,Winter,Yes,No,"Rice/Noodle dishes",Water,Music,7,10,5,"Yes - broadband connection","Text messaging",300,300,10,1,18,9,8,0,7,16,14,14,0,5,Some,"Graduate degree",Pop,Fly,Happy,Relative,"International aid"
2013,[2013],USA,MI,Male,0,,Ambidextrous,169,26,160,1,Car,5,0.346,35,Bowling,800,600,500,900,500,700,26,"Same length",82,85,"Ring finger",November,Summer,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",Science,8,7,5,"Yes - other","Cell phone",125,126,40,2,60,35,50,10,5,60,50,20,0,2,Some,"Graduate degree",Country,Telepathy,Happy,Relative,Religious
2012,[2012],USA,NJ,Male,17,[17],Right-Handed,182,28,176,2,Walk,0,0.302,45,Running/Jogging,700,700,600,650,1000,1000,27,"Right foot",,,,March,Winter,Yes,No,Meat,Water,Science,7,9,5,"Yes - dial-up connection","Text messaging",5,3,50,1,10,0,0,5,2,1,6,0,0,0,Some,"Graduate degree","Rock and roll","Freeze time",Rich,Relative,Environment
2014,[2014],USA,IL,Female,17,[17],Right-Handed,173,25,165,1,Car,5,0.568,40,Dancing,0,481,257,604,920,930,25,"Same length",90,80,"Index finger",October,Fall,Yes,No,Pizza/Pasta,Water,Music,6,10,4,"Yes - broadband connection","Text messaging",5,10,4,0,10,12,9,7,9,3,20,21,3,1,"Very little","Graduate degree","Rock and roll",Invisibility,Happy,Relative,"Arts, culture, sports"
2015,[2015],USA,VA,Male,17,[17],Right-Handed,182,29,182,1,Car,10,0.309,49,Soccer,600,300,600,600,600,700,29,"Same length",79,86,"Ring finger",March,Summer,Yes,No,"Rice/Noodle dishes",Water,History,7,9,6,"Yes - broadband connection","Text messaging",50,50,5,0,2,3,3,6,1,0,5,8,0,4,Some,"Graduate degree","Rock and roll","Freeze time",Happy,"Doctor or nurse",Health
2014,[2014],USA,NC,Male,13,[13],Right-Handed,169,25,163,1,Car,5,0.479,66,"Football (American)",500,500,500,500,500,500,25,"Same length",,,,November,Summer,No,No,Meat,"Sports drink",Music,0,,4,"Yes - broadband connection","Text messaging",200,239,1,1,1,1,1,1,1,1,1,1,1,1,None,"Undergraduate degree","Rap/Hip hop","Super strength",Famous,"Sports person","Education/Youth development"
2015,[2015],USA,CA,Female,17,[17],Right-Handed,175,25,137,1,Car,4,0.3,46,Other,950,950,950,900,300,50,25,"Right foot",70,80,"Ring finger",November,Fall,Yes,No,Seafood,Water,Science,8,9,4,"Yes - broadband connection","Text messaging",50,50,10,1,40,4,10,0,0,4,5,3,15,1,"A lot","Undergraduate degree","Rock and roll",Fly,Happy,Relative,"International aid"
2011,[2011],USA,CA,Male,17,[17],Right-Handed,172,25,172,1,Car,15,0.315,54,Soccer,1,1,10,,1000,1000,25,"Same length",100,100,"Same length",October,Winter,No,No,Pizza/Pasta,"Soft drink (caffeinated)",History,8,10,4,"Yes - broadband connection","In person",20,20,20,1,9,5,4,3,2,1,3,5,15,2,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"International aid"
2014,[2014],USA,UT,Female,17,[17],Right-Handed,174,0,174,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2015,[2015],USA,NY,Female,17,[17],,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2015,[2015],USA,MA,Male,13,[13],Right-Handed,162,28,161,2,Car,15,0,45,Basketball,250,350,450,350,100,350,28,"Same length",85,85,"Same length",March,Summer,No,No,Pizza/Pasta,Juice,"Physical education",8,8,5,"Yes - broadband connection","Text messaging",40,36,25,2,8,10,12,2,4,5,2,3,3,4,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
2013,[2013],USA,RI,Female,10,[10],Right-Handed,149,22,140,1,Bus,35,0.575,44,Basketball,1000,851,957,920,765,1000,21,"Right foot",60,60,"Same length",October,Spring,No,No,Fruit,Juice,Art,9,7,5,"Yes - broadband connection","In person",0,0,50,5,2,70,3,5,11,0,11,10,0,2,"Very little",Other,Jazz,"Freeze time",Happy,Teacher,"Wildlife, animals"
2014,[2014],USA,NY,Female,12,[12],Right-Handed,162,24,155,2,Bus,20,1.048,45,Other,500,300,700,800,500,500,25,"Left foot",70,60,"Index finger",May,Summer,No,Yes,Other,Water,Languages,8,10,4,"Yes - broadband connection","Text messaging",30,10,4,1,5,12,12,7,3,3,4,2,0,2,,,,,,,
